Tỉnh,Ngày,Giải 8,Giải 7,Giải 6,Giải 5,Giải 4,Giải 3,Giải 2,Giải 1,Giải ĐB
TPHCM,Thứ 7 10/12/2022,23,979,5955 7998 7710,8005,66435 56073 88122 37486 67316 17604 13565,30604 32236,39304,58116,272500
Long An,Thứ 7 10/12/2022,72,205,4125 6553 3410,7254,78939 59171 67639 54150 48777 02536 51447,04680 40710,73150,43433,991820
Bình Phước,Thứ 7 10/12/2022,16,695,7189 2797 6403,1050,12202 68554 83468 09335 07245 66511 67887,29959 37318,48793,78303,853183
Hậu Giang,Thứ 7 10/12/2022,37,122,4597 8819 8616,2872,35621 06913 65557 45665 38045 90058 15095,13214 54294,78360,20693,498598
