Tỉnh,Ngày,Giải 8,Giải 7,Giải 6,Giải 5,Giải 4,Giải 3,Giải 2,Giải 1,Giải ĐB
TPHCM,Thứ 7 24/09/2022,07,958,2523 4055 8139,9594,46932 59565 43989 31487 95073 19237 64137,21709 34098,26518,72108,210135
Long An,Thứ 7 24/09/2022,44,067,4352 8194 9856,7278,08272 62642 22098 80335 48156 74264 75630,76694 50505,07604,64593,731473
Bình Phước,Thứ 7 24/09/2022,91,235,0940 9814 7751,8652,05677 23667 05229 03050 42889 59152 75740,29230 28638,15320,57417,255873
Hậu Giang,Thứ 7 24/09/2022,66,128,8973 7475 2957,7750,95621 27887 82945 64191 13655 27151 52034,71458 15608,00426,56078,100138
