Tỉnh,Ngày,Giải 8,Giải 7,Giải 6,Giải 5,Giải 4,Giải 3,Giải 2,Giải 1,Giải ĐB
Tiền Giang,Chủ Nhật 18/12/2022,75,420,4867 5797 2941,0310,28883 19602 32631 79137 34397 02357 97249,11425 70915,45858,82355,096372
Kiên Giang,Chủ Nhật 18/12/2022,60,440,3357 7305 3161,8597,98154 77411 29353 34116 93806 89787 49418,03700 20858,57985,13145,480954
Đà Lạt,Chủ Nhật 18/12/2022,35,906,7661 1519 7975,8099,41465 43252 38941 66866 22327 08195 84936,14147 37593,14818,64859,699189
