Tỉnh,Ngày,Giải 8,Giải 7,Giải 6,Giải 5,Giải 4,Giải 3,Giải 2,Giải 1,Giải ĐB
TPHCM,Thứ 7 19/11/2022,06,816,9426 1135 8247,1888,50453 06255 61631 13568 32588 29397 21186,93437 34515,54459,96038,337741
Long An,Thứ 7 19/11/2022,63,083,2469 5424 2251,2303,62473 43255 00107 45438 43156 20703 37094,00377 35913,76572,90050,423071
Bình Phước,Thứ 7 19/11/2022,85,320,3368 7610 2873,2519,93804 54060 98371 53721 44033 25866 59432,70884 76651,51194,63490,871939
Hậu Giang,Thứ 7 19/11/2022,43,179,2473 8373 2144,8386,01798 19660 32246 04223 88596 21409 67457,74720 94345,21817,98239,167038
