Tỉnh,Ngày,Giải 8,Giải 7,Giải 6,Giải 5,Giải 4,Giải 3,Giải 2,Giải 1,Giải ĐB
Vĩnh Long,Thứ 6 23/12/2022,76,232,3260 9364 9502,4840,62735 22178 75929 61740 59902 34296 06606,93285 60602,45733,84681,012355
Bình Dương,Thứ 6 23/12/2022,35,174,6818 0146 3599,7645,33363 13104 96268 50222 48419 86081 51105,52352 55771,67901,88017,930459
Trà Vinh,Thứ 6 23/12/2022,05,776,3350 3528 8217,5023,27787 62033 62458 66925 25549 67771 18412,18627 43693,92989,69250,225208
