Tỉnh,Ngày,Giải 8,Giải 7,Giải 6,Giải 5,Giải 4,Giải 3,Giải 2,Giải 1,Giải ĐB
Đồng Nai,Thứ 4 21/09/2022,08,831,8723 8557 8502,8909,70968 62032 18100 05136 90216 33070 81725,78439 85049,12905,59793,600470
Cần Thơ,Thứ 4 21/09/2022,74,949,2489 3754 7758,8330,55416 85871 60953 37084 07079 30790 56631,96982 88523,77878,34832,619143
Sóc Trăng,Thứ 4 21/09/2022,88,168,0380 7100 0629,6656,13369 27049 04393 18622 80559 39958 44333,65629 10790,68950,33219,446354
